carrier,split,evaluation_only
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,calibration,false
direct-v1,calibration,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
direct-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
explain-v1,train,false
