source,split,prompt_group_id
dolly,train,pg_dolly_dolly-08315_0187ac937c
dolly,train,pg_dolly_dolly-09108_72fe3c386d
dolly,test_id,pg_dolly_dolly-13437_d34ff2e609
dolly,test_id,pg_dolly_dolly-12777_d455baaad7
dolly,train,pg_dolly_dolly-11313_1529566501
dolly,train,pg_dolly_dolly-02549_1b4011c9d4
dolly,train,pg_dolly_dolly-14806_85e75a747b
dolly,train,pg_dolly_dolly-11019_6b7df745a3
dolly,test_id,pg_dolly_dolly-12093_d90766f088
dolly,train,pg_dolly_dolly-08743_6eeb8cbded
dolly,test_id,pg_dolly_dolly-11016_ceef14b998
dolly,calibration,pg_dolly_dolly-05048_baa8a4f1b3
dolly,train,pg_dolly_dolly-06275_a1408b1a53
dolly,train,pg_dolly_dolly-02534_4b85c1add2
dolly,calibration,pg_dolly_dolly-11173_cbcad8491a
dolly,train,pg_dolly_dolly-08542_899ac186ec
dolly,test_id,pg_dolly_dolly-08038_cf5c9174a3
dolly,train,pg_dolly_dolly-11962_55b1a15a6f
dolly,train,pg_dolly_dolly-14785_1dc3558969
dolly,test_id,pg_dolly_dolly-05513_d1e6281860
dolly,train,pg_dolly_dolly-14065_6d3fbd7227
dolly,train,pg_dolly_dolly-07584_6e6003f399
dolly,test_id,pg_dolly_dolly-04554_cfed5f0a5a
dolly,train,pg_dolly_dolly-09832_37a809539a
dolly,train,pg_dolly_dolly-14062_ab715317db
dolly,train,pg_dolly_dolly-01079_2f65bdc125
dolly,train,pg_dolly_dolly-14790_13b4ba22e4
dolly,train,pg_dolly_dolly-12872_294fb4ae2a
dolly,calibration,pg_dolly_dolly-10778_c9e47c96d9
dolly,train,pg_dolly_dolly-13825_0c38a1aaab
dolly,train,pg_dolly_dolly-13536_8f85cddec1
dolly,train,pg_dolly_dolly-02291_7b91cade82
dolly,train,pg_dolly_dolly-05759_3f1926477a
dolly,train,pg_dolly_dolly-06539_41d0041234
dolly,train,pg_dolly_dolly-14191_30a2060172
dolly,train,pg_dolly_dolly-04371_98100daadb
dolly,calibration,pg_dolly_dolly-06911_af92414256
dolly,train,pg_dolly_dolly-03422_5a2791498f
dolly,train,pg_dolly_dolly-13861_50986e7e19
dolly,train,pg_dolly_dolly-12942_1c04e37c67
dolly,train,pg_dolly_dolly-09305_188dc795c7
dolly,train,pg_dolly_dolly-01583_9f8a020170
dolly,test_id,pg_dolly_dolly-10300_e080a98f67
dolly,train,pg_dolly_dolly-07284_5374b158df
dolly,train,pg_dolly_dolly-07445_796cced976
dolly,train,pg_dolly_dolly-14401_5ec82baf14
dolly,train,pg_dolly_dolly-14245_206a9cb8f0
dolly,train,pg_dolly_dolly-00358_1efd53df84
dolly,calibration,pg_dolly_dolly-11797_cbe039464e
dolly,train,pg_dolly_dolly-04349_20ec7c29fc
dolly,calibration,pg_dolly_dolly-14800_b80633e471
dolly,train,pg_dolly_dolly-09830_30bf9de73e
dolly,test_id,pg_dolly_dolly-08935_dfb3a83aa5
dolly,train,pg_dolly_dolly-03378_41c92da161
dolly,train,pg_dolly_dolly-05098_20f15b4b75
dolly,train,pg_dolly_dolly-13502_5fa43b1874
dolly,train,pg_dolly_dolly-05979_a0a5359d2d
dolly,train,pg_dolly_dolly-07051_8e72172d39
dolly,test_id,pg_dolly_dolly-06745_dc6d84aae0
dolly,train,pg_dolly_dolly-05560_8581554e16
dolly,calibration,pg_dolly_dolly-14387_c7afb023f6
dolly,train,pg_dolly_dolly-02446_1b512ca016
dolly,test_id,pg_dolly_dolly-08897_fadb81d1dc
dolly,test_id,pg_dolly_dolly-04932_e0d8a3d24c
dolly,train,pg_dolly_dolly-05456_8d92285671
dolly,train,pg_dolly_dolly-01619_100fc3f36a
dolly,test_id,pg_dolly_dolly-02810_e7700b39fc
dolly,train,pg_dolly_dolly-06100_54d85fa9e0
dolly,test_id,pg_dolly_dolly-14622_f59e6524ed
dolly,train,pg_dolly_dolly-06504_60417c7cbd
dolly,train,pg_dolly_dolly-02340_4624a154d4
dolly,train,pg_dolly_dolly-02704_0765a8c454
dolly,train,pg_dolly_dolly-00877_410d79d518
dolly,train,pg_dolly_dolly-14841_2ba6757a1b
dolly,test_id,pg_dolly_dolly-07256_eca63277a2
dolly,train,pg_dolly_dolly-07003_1194047628
dolly,train,pg_dolly_dolly-08638_27dd6a63c4
dolly,train,pg_dolly_dolly-09841_7cf32af7f2
dolly,train,pg_dolly_dolly-00441_440cb9a137
dolly,calibration,pg_dolly_dolly-11022_b0e810cfc4
dolly,train,pg_dolly_dolly-00627_43ac01696c
dolly,train,pg_dolly_dolly-07237_77bba36590
dolly,train,pg_dolly_dolly-13898_6b32407dd6
dolly,train,pg_dolly_dolly-11804_ad3e4de317
dolly,calibration,pg_dolly_dolly-07873_bd4cf12015
dolly,train,pg_dolly_dolly-05199_35df185fad
dolly,train,pg_dolly_dolly-06917_5698b58fc8
dolly,train,pg_dolly_dolly-02920_a3fff03d2a
dolly,calibration,pg_dolly_dolly-13022_c09a02a6f1
dolly,test_id,pg_dolly_dolly-08828_ebd575060f
dolly,test_id,pg_dolly_dolly-07422_dd251e1cf4
dolly,train,pg_dolly_dolly-07646_ac20b31513
dolly,test_id,pg_dolly_dolly-09550_d068711d76
dolly,train,pg_dolly_dolly-11217_a1b82bebd8
dolly,train,pg_dolly_dolly-14392_06fd75bd01
dolly,train,pg_dolly_dolly-12684_3d49e55ae0
dolly,train,pg_dolly_dolly-05556_1aa4d8e3b7
dolly,train,pg_dolly_dolly-14059_762312c907
dolly,test_id,pg_dolly_dolly-08381_dbc84e6a15
dolly,test_id,pg_dolly_dolly-05520_e737adbce3
dolly,train,pg_dolly_dolly-01145_93fb086c70
dolly,train,pg_dolly_dolly-05657_7154fcf77b
dolly,train,pg_dolly_dolly-10546_156de8c4e0
dolly,train,pg_dolly_dolly-06578_51e7e176b4
dolly,train,pg_dolly_dolly-13543_591a375fc9
dolly,test_id,pg_dolly_dolly-10150_ec9bec6086
dolly,test_id,pg_dolly_dolly-01003_f5b8ae0fab
dolly,train,pg_dolly_dolly-04230_73bd3cd9c9
dolly,train,pg_dolly_dolly-06368_5ea6c8e788
dolly,train,pg_dolly_dolly-06751_5e968bacee
