family,split,count
relation-capital_of,train,28
relation-country_language,train,44
relation-continent_of,calibration,31
relation-currency_of,train,18
relation-antonym,train,26
relation-comparative_of,train,24
relation-month_after,train,12
relation-month_before,train,12
relation-plural_of,train,25
relation-object_color,train,20
relation-material,train,21
relation-habitat,train,19
relation-category_member,train,10
relation-counting,train,8
relation-body,test_id,8
relation-profession_tool,train,7
relation-sequence,train,6
relation-emotion_outcome,train,10
sae-expansion,train,173
sae-expansion,calibration,32
sae-expansion,test_id,54
certainty-mcq,train,5
certainty-mcq,calibration,2
certainty-mcq,test_id,1
certainty-factual_qa,test_id,2
certainty-factual_qa,train,6
certainty-passage_qa,train,8
certainty-procedural_logic,train,4
certainty-procedural_logic,calibration,3
certainty-procedural_logic,test_id,1
certainty-freeform_answerability,train,6
certainty-freeform_answerability,test_id,1
certainty-freeform_answerability,calibration,1
steering-open,train,16
steering-open,test_id,5
steering-open,calibration,3
persona-content,calibration,8
persona-content,train,18
persona-content,test_id,6
sycophancy-pressure,train,23
sycophancy-pressure,test_id,10
sycophancy-pressure,calibration,4
belief-science,train,4
belief-science,calibration,1
belief-geography,calibration,3
belief-science,test_id,1
belief-biology,train,2
belief-art,calibration,1
belief-literature,test_id,1
belief-geography,test_id,1
belief-biology,test_id,1
g1-public-science,train,1
g1-synthetic-bridge,test_id,1
g1-expository,train,1
g1-sql,test_id,1
g1-public-science,test_id,1
g1-public-language,train,1
g1-public-math,train,1
g1-synthetic-bridge,train,1
g1-synthetic-bridge,calibration,1
g1-synthetic-order,train,1
g1-expository,calibration,1
g1-procedural,train,1
g1-descriptive,train,1
g1-python,test_id,1
g1-sql,train,1
g1-pseudocode,train,1
dolly-open_qa,train,81
dolly-classification,train,70
dolly-open_qa,test_id,18
dolly-brainstorming,test_id,21
dolly-creative_writing,train,72
dolly-general_qa,train,79
dolly-classification,test_id,24
dolly-brainstorming,calibration,16
dolly-brainstorming,train,73
dolly-open_qa,calibration,11
dolly-general_qa,calibration,13
dolly-general_qa,test_id,18
dolly-classification,calibration,16
dolly-creative_writing,test_id,27
dolly-creative_writing,calibration,11
oasst1-root,test_source_holdout,300
rag-benchmark,train,2
rag-benchmark,test_id,2
rag-knowledge,test_id,12
rag-knowledge,calibration,6
rag-knowledge,train,38
