control_id,prompt_group_id,split
human-dolly-08315,pg_dolly_dolly-08315_0187ac937c,train
human-dolly-09108,pg_dolly_dolly-09108_72fe3c386d,train
human-dolly-13437,pg_dolly_dolly-13437_d34ff2e609,test_id
human-dolly-12777,pg_dolly_dolly-12777_d455baaad7,test_id
human-dolly-11313,pg_dolly_dolly-11313_1529566501,train
human-dolly-02549,pg_dolly_dolly-02549_1b4011c9d4,train
human-dolly-14806,pg_dolly_dolly-14806_85e75a747b,train
human-dolly-11019,pg_dolly_dolly-11019_6b7df745a3,train
human-dolly-12093,pg_dolly_dolly-12093_d90766f088,test_id
human-dolly-08743,pg_dolly_dolly-08743_6eeb8cbded,train
human-dolly-11016,pg_dolly_dolly-11016_ceef14b998,test_id
human-dolly-05048,pg_dolly_dolly-05048_baa8a4f1b3,calibration
human-dolly-06275,pg_dolly_dolly-06275_a1408b1a53,train
human-dolly-02534,pg_dolly_dolly-02534_4b85c1add2,train
human-dolly-11173,pg_dolly_dolly-11173_cbcad8491a,calibration
human-dolly-08542,pg_dolly_dolly-08542_899ac186ec,train
human-dolly-08038,pg_dolly_dolly-08038_cf5c9174a3,test_id
human-dolly-11962,pg_dolly_dolly-11962_55b1a15a6f,train
human-dolly-14785,pg_dolly_dolly-14785_1dc3558969,train
human-dolly-05513,pg_dolly_dolly-05513_d1e6281860,test_id
human-dolly-14065,pg_dolly_dolly-14065_6d3fbd7227,train
human-dolly-07584,pg_dolly_dolly-07584_6e6003f399,train
human-dolly-04554,pg_dolly_dolly-04554_cfed5f0a5a,test_id
human-dolly-09832,pg_dolly_dolly-09832_37a809539a,train
human-dolly-14062,pg_dolly_dolly-14062_ab715317db,train
human-dolly-01079,pg_dolly_dolly-01079_2f65bdc125,train
human-dolly-14790,pg_dolly_dolly-14790_13b4ba22e4,train
human-dolly-12872,pg_dolly_dolly-12872_294fb4ae2a,train
human-dolly-10778,pg_dolly_dolly-10778_c9e47c96d9,calibration
human-dolly-13825,pg_dolly_dolly-13825_0c38a1aaab,train
human-dolly-13536,pg_dolly_dolly-13536_8f85cddec1,train
human-dolly-02291,pg_dolly_dolly-02291_7b91cade82,train
human-dolly-05759,pg_dolly_dolly-05759_3f1926477a,train
human-dolly-06539,pg_dolly_dolly-06539_41d0041234,train
human-dolly-14191,pg_dolly_dolly-14191_30a2060172,train
human-dolly-04371,pg_dolly_dolly-04371_98100daadb,train
human-dolly-06911,pg_dolly_dolly-06911_af92414256,calibration
human-dolly-03422,pg_dolly_dolly-03422_5a2791498f,train
human-dolly-13861,pg_dolly_dolly-13861_50986e7e19,train
human-dolly-12942,pg_dolly_dolly-12942_1c04e37c67,train
human-dolly-09305,pg_dolly_dolly-09305_188dc795c7,train
human-dolly-01583,pg_dolly_dolly-01583_9f8a020170,train
human-dolly-10300,pg_dolly_dolly-10300_e080a98f67,test_id
human-dolly-07284,pg_dolly_dolly-07284_5374b158df,train
human-dolly-07445,pg_dolly_dolly-07445_796cced976,train
human-dolly-14401,pg_dolly_dolly-14401_5ec82baf14,train
human-dolly-14245,pg_dolly_dolly-14245_206a9cb8f0,train
human-dolly-00358,pg_dolly_dolly-00358_1efd53df84,train
human-dolly-11797,pg_dolly_dolly-11797_cbe039464e,calibration
human-dolly-04349,pg_dolly_dolly-04349_20ec7c29fc,train
human-dolly-14800,pg_dolly_dolly-14800_b80633e471,calibration
human-dolly-09830,pg_dolly_dolly-09830_30bf9de73e,train
human-dolly-08935,pg_dolly_dolly-08935_dfb3a83aa5,test_id
human-dolly-03378,pg_dolly_dolly-03378_41c92da161,train
human-dolly-05098,pg_dolly_dolly-05098_20f15b4b75,train
human-dolly-13502,pg_dolly_dolly-13502_5fa43b1874,train
human-dolly-05979,pg_dolly_dolly-05979_a0a5359d2d,train
human-dolly-07051,pg_dolly_dolly-07051_8e72172d39,train
human-dolly-06745,pg_dolly_dolly-06745_dc6d84aae0,test_id
human-dolly-05560,pg_dolly_dolly-05560_8581554e16,train
human-dolly-14387,pg_dolly_dolly-14387_c7afb023f6,calibration
human-dolly-02446,pg_dolly_dolly-02446_1b512ca016,train
human-dolly-08897,pg_dolly_dolly-08897_fadb81d1dc,test_id
human-dolly-04932,pg_dolly_dolly-04932_e0d8a3d24c,test_id
human-dolly-05456,pg_dolly_dolly-05456_8d92285671,train
