left,right,jaccard
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_germany_412ed359b5,0.8278688524590164
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_italy_bc632c5878,0.8416666666666667
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_italy_bc632c5878,0.85
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_spain_f52a807d64,0.8416666666666667
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_spain_f52a807d64,0.8347107438016529
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_spain_f52a807d64,0.8487394957983193
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_japan_e41f393b98,0.8416666666666667
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_japan_e41f393b98,0.8347107438016529
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_japan_e41f393b98,0.8487394957983193
pg_advanced-relations_currency_of_spain_f52a807d64,pg_advanced-relations_currency_of_japan_e41f393b98,0.864406779661017
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_china_5f7eab15f6,0.8416666666666667
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_china_5f7eab15f6,0.8347107438016529
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_china_5f7eab15f6,0.8487394957983193
pg_advanced-relations_currency_of_spain_f52a807d64,pg_advanced-relations_currency_of_china_5f7eab15f6,0.8487394957983193
pg_advanced-relations_currency_of_japan_e41f393b98,pg_advanced-relations_currency_of_china_5f7eab15f6,0.8487394957983193
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_egypt_2aa6f6b245,0.8416666666666667
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_egypt_2aa6f6b245,0.8347107438016529
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_egypt_2aa6f6b245,0.8487394957983193
pg_advanced-relations_currency_of_spain_f52a807d64,pg_advanced-relations_currency_of_egypt_2aa6f6b245,0.8487394957983193
pg_advanced-relations_currency_of_japan_e41f393b98,pg_advanced-relations_currency_of_egypt_2aa6f6b245,0.8487394957983193
pg_advanced-relations_currency_of_china_5f7eab15f6,pg_advanced-relations_currency_of_egypt_2aa6f6b245,0.8487394957983193
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_greece_5271d6caa5,0.865546218487395
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_greece_5271d6caa5,0.8429752066115702
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_greece_5271d6caa5,0.8416666666666667
pg_advanced-relations_currency_of_spain_f52a807d64,pg_advanced-relations_currency_of_greece_5271d6caa5,0.8416666666666667
pg_advanced-relations_currency_of_japan_e41f393b98,pg_advanced-relations_currency_of_greece_5271d6caa5,0.8416666666666667
pg_advanced-relations_currency_of_china_5f7eab15f6,pg_advanced-relations_currency_of_greece_5271d6caa5,0.8416666666666667
pg_advanced-relations_currency_of_egypt_2aa6f6b245,pg_advanced-relations_currency_of_greece_5271d6caa5,0.8416666666666667
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_austria_7085672d43,0.8278688524590164
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_austria_7085672d43,0.8211382113821138
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_austria_7085672d43,0.8347107438016529
pg_advanced-relations_currency_of_spain_f52a807d64,pg_advanced-relations_currency_of_austria_7085672d43,0.8347107438016529
pg_advanced-relations_currency_of_japan_e41f393b98,pg_advanced-relations_currency_of_austria_7085672d43,0.8347107438016529
pg_advanced-relations_currency_of_china_5f7eab15f6,pg_advanced-relations_currency_of_austria_7085672d43,0.85
pg_advanced-relations_currency_of_egypt_2aa6f6b245,pg_advanced-relations_currency_of_austria_7085672d43,0.8347107438016529
pg_advanced-relations_currency_of_greece_5271d6caa5,pg_advanced-relations_currency_of_austria_7085672d43,0.8278688524590164
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_portugal_b90f53430d,0.8211382113821138
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_portugal_b90f53430d,0.8145161290322581
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_portugal_b90f53430d,0.8278688524590164
pg_advanced-relations_currency_of_spain_f52a807d64,pg_advanced-relations_currency_of_portugal_b90f53430d,0.8278688524590164
pg_advanced-relations_currency_of_japan_e41f393b98,pg_advanced-relations_currency_of_portugal_b90f53430d,0.8278688524590164
pg_advanced-relations_currency_of_china_5f7eab15f6,pg_advanced-relations_currency_of_portugal_b90f53430d,0.8278688524590164
pg_advanced-relations_currency_of_egypt_2aa6f6b245,pg_advanced-relations_currency_of_portugal_b90f53430d,0.8278688524590164
pg_advanced-relations_currency_of_greece_5271d6caa5,pg_advanced-relations_currency_of_portugal_b90f53430d,0.8211382113821138
pg_advanced-relations_currency_of_austria_7085672d43,pg_advanced-relations_currency_of_portugal_b90f53430d,0.8145161290322581
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_england_e7ba626416,0.8278688524590164
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_england_e7ba626416,0.8211382113821138
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_england_e7ba626416,0.8347107438016529
pg_advanced-relations_currency_of_spain_f52a807d64,pg_advanced-relations_currency_of_england_e7ba626416,0.8347107438016529
pg_advanced-relations_currency_of_japan_e41f393b98,pg_advanced-relations_currency_of_england_e7ba626416,0.8347107438016529
pg_advanced-relations_currency_of_china_5f7eab15f6,pg_advanced-relations_currency_of_england_e7ba626416,0.8347107438016529
pg_advanced-relations_currency_of_egypt_2aa6f6b245,pg_advanced-relations_currency_of_england_e7ba626416,0.85
pg_advanced-relations_currency_of_greece_5271d6caa5,pg_advanced-relations_currency_of_england_e7ba626416,0.8278688524590164
pg_advanced-relations_currency_of_austria_7085672d43,pg_advanced-relations_currency_of_england_e7ba626416,0.8211382113821138
pg_advanced-relations_currency_of_portugal_b90f53430d,pg_advanced-relations_currency_of_england_e7ba626416,0.8145161290322581
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_switzerland_64a5623d83,0.8015873015873016
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_switzerland_64a5623d83,0.808
pg_advanced-relations_currency_of_spain_f52a807d64,pg_advanced-relations_currency_of_switzerland_64a5623d83,0.8225806451612904
pg_advanced-relations_currency_of_japan_e41f393b98,pg_advanced-relations_currency_of_switzerland_64a5623d83,0.808
pg_advanced-relations_currency_of_china_5f7eab15f6,pg_advanced-relations_currency_of_switzerland_64a5623d83,0.808
pg_advanced-relations_currency_of_egypt_2aa6f6b245,pg_advanced-relations_currency_of_switzerland_64a5623d83,0.808
pg_advanced-relations_currency_of_greece_5271d6caa5,pg_advanced-relations_currency_of_switzerland_64a5623d83,0.8015873015873016
pg_advanced-relations_currency_of_england_e7ba626416,pg_advanced-relations_currency_of_switzerland_64a5623d83,0.8536585365853658
pg_advanced-relations_currency_of_france_65941ae64c,pg_advanced-relations_currency_of_australia_80a7f6c5db,0.8145161290322581
pg_advanced-relations_currency_of_germany_412ed359b5,pg_advanced-relations_currency_of_australia_80a7f6c5db,0.808
pg_advanced-relations_currency_of_italy_bc632c5878,pg_advanced-relations_currency_of_australia_80a7f6c5db,0.8211382113821138
pg_advanced-relations_currency_of_spain_f52a807d64,pg_advanced-relations_currency_of_australia_80a7f6c5db,0.8211382113821138
pg_advanced-relations_currency_of_japan_e41f393b98,pg_advanced-relations_currency_of_australia_80a7f6c5db,0.8211382113821138
