sourceId,split,count
advanced-relations,train,213
advanced-relations,calibration,31
relation-probes,train,77
relation-probes,test_id,8
sae-corpus,train,173
sae-corpus,calibration,32
sae-corpus,test_id,54
certainty,train,29
certainty,calibration,6
certainty,test_id,5
steering,train,16
steering,test_id,5
steering,calibration,3
persona,calibration,8
persona,train,18
persona,test_id,6
sycophancy,train,23
sycophancy,test_id,10
sycophancy,calibration,4
belief-revision,train,6
belief-revision,calibration,5
belief-revision,test_id,4
g1,train,10
g1,test_id,4
g1,calibration,2
dolly,train,375
dolly,test_id,108
dolly,calibration,67
oasst1,test_source_holdout,300
rag-lab1,train,40
rag-lab1,test_id,14
rag-lab1,calibration,6
