family,split,prompt_group_id
relation-capital_of,train,pg_advanced-relations_capital_of_france_351b7af734
relation-country_language,train,pg_advanced-relations_language_of_france_f2c98ac7a2
relation-continent_of,calibration,pg_advanced-relations_continent_of_france_b8153b1f7b
relation-currency_of,train,pg_advanced-relations_currency_of_france_65941ae64c
relation-capital_of,train,pg_advanced-relations_capital_of_germany_8702539595
relation-country_language,train,pg_advanced-relations_language_of_germany_385ef2f94b
relation-continent_of,calibration,pg_advanced-relations_continent_of_germany_c71d20126e
relation-currency_of,train,pg_advanced-relations_currency_of_germany_412ed359b5
relation-capital_of,train,pg_advanced-relations_capital_of_italy_644a289d07
relation-country_language,train,pg_advanced-relations_language_of_italy_ae65c4cdb6
relation-continent_of,calibration,pg_advanced-relations_continent_of_italy_113145a6b7
relation-currency_of,train,pg_advanced-relations_currency_of_italy_bc632c5878
relation-capital_of,train,pg_advanced-relations_capital_of_spain_949d299595
relation-country_language,train,pg_advanced-relations_language_of_spain_b692c3bab4
relation-continent_of,calibration,pg_advanced-relations_continent_of_spain_fc0ac910bd
relation-currency_of,train,pg_advanced-relations_currency_of_spain_f52a807d64
relation-capital_of,train,pg_advanced-relations_capital_of_japan_c0d12b07ac
relation-country_language,train,pg_advanced-relations_language_of_japan_8631f3f57d
relation-continent_of,calibration,pg_advanced-relations_continent_of_japan_69e5a345d2
relation-currency_of,train,pg_advanced-relations_currency_of_japan_e41f393b98
relation-capital_of,train,pg_advanced-relations_capital_of_china_998484c150
relation-country_language,train,pg_advanced-relations_language_of_china_55a12b1962
relation-continent_of,calibration,pg_advanced-relations_continent_of_china_2f71fb1a52
relation-currency_of,train,pg_advanced-relations_currency_of_china_5f7eab15f6
relation-capital_of,train,pg_advanced-relations_capital_of_russia_a0deeab790
relation-country_language,train,pg_advanced-relations_language_of_russia_0415875356
relation-continent_of,calibration,pg_advanced-relations_continent_of_russia_518c363087
relation-capital_of,train,pg_advanced-relations_capital_of_egypt_90f4439e3a
relation-country_language,train,pg_advanced-relations_language_of_egypt_daef328692
relation-continent_of,calibration,pg_advanced-relations_continent_of_egypt_2b04fd60ac
relation-currency_of,train,pg_advanced-relations_currency_of_egypt_2aa6f6b245
relation-capital_of,train,pg_advanced-relations_capital_of_greece_f181fe05a7
relation-country_language,train,pg_advanced-relations_language_of_greece_9642323b80
relation-continent_of,calibration,pg_advanced-relations_continent_of_greece_4fd09243c4
relation-currency_of,train,pg_advanced-relations_currency_of_greece_5271d6caa5
relation-capital_of,train,pg_advanced-relations_capital_of_norway_669d16bcb3
relation-country_language,train,pg_advanced-relations_language_of_norway_25e31aee6b
relation-continent_of,calibration,pg_advanced-relations_continent_of_norway_c4f7c0cc2b
relation-capital_of,train,pg_advanced-relations_capital_of_poland_47da625ad6
relation-country_language,train,pg_advanced-relations_language_of_poland_f69af71632
relation-continent_of,calibration,pg_advanced-relations_continent_of_poland_67d300b7d4
relation-capital_of,train,pg_advanced-relations_capital_of_austria_f6963d823e
relation-country_language,train,pg_advanced-relations_language_of_austria_3272f4ed9b
relation-continent_of,calibration,pg_advanced-relations_continent_of_austria_875c4b1c56
relation-currency_of,train,pg_advanced-relations_currency_of_austria_7085672d43
relation-capital_of,train,pg_advanced-relations_capital_of_portugal_d018f9ccaf
relation-country_language,train,pg_advanced-relations_language_of_portugal_9a5480db5b
relation-continent_of,calibration,pg_advanced-relations_continent_of_portugal_3767527cf1
relation-currency_of,train,pg_advanced-relations_currency_of_portugal_b90f53430d
relation-capital_of,train,pg_advanced-relations_capital_of_thailand_b9df3a6bf8
relation-country_language,train,pg_advanced-relations_language_of_thailand_6a1760fe91
relation-continent_of,calibration,pg_advanced-relations_continent_of_thailand_4c866ecfd1
relation-capital_of,train,pg_advanced-relations_capital_of_england_761e8bbe3a
relation-country_language,train,pg_advanced-relations_language_of_england_1e17525cb1
relation-continent_of,calibration,pg_advanced-relations_continent_of_england_3afd77d99c
