item_id,task_family,prompt,target,distractor,split,expected_mechanism,notes
ind_train_01,induction_copy,red blue green red blue,green,yellow,train,previous_match_successor_copy,trained synthetic induction-copy row
ind_train_02,induction_copy,orange purple cyan orange purple,cyan,red,train,previous_match_successor_copy,trained synthetic induction-copy row
ind_train_03,induction_copy,silver bronze teal silver bronze,teal,orange,train,previous_match_successor_copy,trained synthetic induction-copy row
ind_train_04,induction_copy,magenta amber violet magenta amber,violet,blue,train,previous_match_successor_copy,trained synthetic induction-copy row
ind_heldout_01,induction_copy,yellow green purple yellow green,purple,amber,heldout,previous_match_successor_copy,held-out color combination
ind_heldout_02,induction_copy,cyan red orange cyan red,orange,silver,heldout,previous_match_successor_copy,held-out color combination
ind_heldout_03,induction_copy,amber teal blue amber teal,blue,magenta,heldout,previous_match_successor_copy,held-out color combination
ind_test_01,induction_copy,teal violet magenta teal violet,magenta,green,test,previous_match_successor_copy,test color combination
ind_test_02,induction_copy,bronze yellow silver bronze yellow,silver,purple,test,previous_match_successor_copy,test color combination
ind_test_03,induction_copy,green orange amber green orange,amber,cyan,test,previous_match_successor_copy,test color combination
ctrl_relation_01,relation_control,capital France,Paris,Rome,control,not_trained,untrained relation-control row
ctrl_relation_02,relation_control,language Italy,Italian,German,control,not_trained,untrained relation-control row
ctrl_calendar_01,calendar_control,month after January,February,March,control,not_trained,untrained calendar-control row
ctrl_calendar_02,calendar_control,month before March,February,April,control,not_trained,untrained calendar-control row
