ci_hi,ci_lo,commit,condition,decoding,dose_k,instrument,layer,lens,median,metric,model,n,q25,q75,regime,seed,source,tier,value,ws
,,,,,,readout,,donor-think-120,,multihop_jlens_pass@1,olmo31-instruct,60,,,,0,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,0.21666666666666667,A0
,,,,,,readout,,donor-think-120,,multihop_logit_pass@1,olmo31-instruct,60,,,,0,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,0.2,A0
,,,,,,readout,,donor-think-120,,multihop_jlens_pass@5,olmo31-instruct,60,,,,0,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,0.4166666666666667,A0
,,,,,,readout,,donor-think-120,,multihop_logit_pass@5,olmo31-instruct,60,,,,0,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,0.40555555555555556,A0
,,,,,,readout,,donor-think-120,,multihop_jlens_pass@20,olmo31-instruct,60,,,,0,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,0.5222222222222223,A0
,,,,,,readout,,donor-think-120,,multihop_logit_pass@20,olmo31-instruct,60,,,,0,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,0.5555555555555555,A0
,,,,,,readout,,donor-think-120,,probe_hits_at20,olmo31-instruct,21,,,,0,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,17,A0
,,,,,,drift,,,,unembed_row_cos_median,olmo31-instruct,,,,,,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,0.9984,A0
,,,,,,drift,,,,final_norm_gain_cos,olmo31-instruct,,,,,,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,0.999996,A0
,,,,,,gate,,,,verdict,olmo31-instruct,,,,,,metrics/olmo31-instruct/a0_transfer_gate.json,exploratory,TRANSFER_FAIL,A0
0.7,0.45,,none,greedy,10,causal,,,,twohop,olmo3-think,60,,,,0,metrics/olmo3-think/b3_frozen_logit.json,exploratory,0.5833333333333334,B3
0.7666666666666667,0.43333333333333335,,none,greedy,10,causal,,,,onehop,olmo3-think,30,,,,0,metrics/olmo3-think/b3_frozen_logit.json,exploratory,0.6,B3
