layer,metric,value,classification,source_evidence_id
L22,local_tangent_classification,local_tangent_mismatch,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,smallest_primary_n_evaluable,12,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,smallest_primary_n_pass,0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,smallest_primary_pass_fraction,0.0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,declared_dose_n_evaluable,12,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,declared_dose_n_pass,0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,smallest_primary_median_tangent_cosine,0.13528484851121902,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,smallest_primary_median_tangent_relative_error,1.0166672077743184,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,smallest_primary_median_gain,0.6732769000175445,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,declared_dose_median_tangent_cosine,0.038894698955118656,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,declared_dose_median_tangent_relative_error,1.3569144747808446,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,declared_dose_median_gain,0.997677616941272,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,declared_dose_bootstrap_tre_estimate,1.3569144747808446,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,declared_dose_bootstrap_tre_ci95_low,1.0132873480989342,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L22,declared_dose_bootstrap_tre_ci95_high,3.3355853856392974,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,local_tangent_classification,local_tangent_mismatch,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,smallest_primary_n_evaluable,13,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,smallest_primary_n_pass,0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,smallest_primary_pass_fraction,0.0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,declared_dose_n_evaluable,12,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,declared_dose_n_pass,0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,smallest_primary_median_tangent_cosine,0.8690659999847412,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,smallest_primary_median_tangent_relative_error,0.5057519914470996,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,smallest_primary_median_gain,0.9878804429720783,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,declared_dose_median_tangent_cosine,0.2811876982450485,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,declared_dose_median_tangent_relative_error,1.6687726113611407,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,declared_dose_median_gain,1.706597646612813,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,declared_dose_bootstrap_tre_estimate,1.572969058591358,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,declared_dose_bootstrap_tre_ci95_low,1.4457852496973689,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L30,declared_dose_bootstrap_tre_ci95_high,1.8705856100689189,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,local_tangent_classification,local_tangent_mismatch,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,smallest_primary_n_evaluable,12,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,smallest_primary_n_pass,0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,smallest_primary_pass_fraction,0.0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,declared_dose_n_evaluable,12,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,declared_dose_n_pass,0,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,smallest_primary_median_tangent_cosine,0.20398596674203873,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,smallest_primary_median_tangent_relative_error,1.4961038790438317,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,smallest_primary_median_gain,1.397148670725323,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,declared_dose_median_tangent_cosine,-0.06218847259879112,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,declared_dose_median_tangent_relative_error,3.7577987850518726,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
L37,declared_dose_median_gain,3.559061522576139,local_tangent_mismatch,gm-jvp-gemma-stage1-v1
