checkpoint,metric_class,metric,frame,cohort,value,tier,source_evidence_id
olmo3-base,capacity,occupancy_median_L24,own,dev_corpus_7481pos,2,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_L24,own,dev_corpus_7481pos,-0.00013672313294466054,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_low_L24,own,dev_corpus_7481pos,-0.0007022224375334397,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_high_L24,own,dev_corpus_7481pos,0.00043722214311550097,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,occupancy_median_L24,base_common,dev_corpus_7481pos,2,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_L24,base_common,dev_corpus_7481pos,-0.00013672313294466054,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_low_L24,base_common,dev_corpus_7481pos,-0.0007022224375334397,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_high_L24,base_common,dev_corpus_7481pos,0.00043722214311550097,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,occupancy_median_L32,own,dev_corpus_7481pos,2,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_L32,own,dev_corpus_7481pos,0.0031511520297778555,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_low_L32,own,dev_corpus_7481pos,0.002655532218255289,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_high_L32,own,dev_corpus_7481pos,0.003640689891287012,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,occupancy_median_L32,base_common,dev_corpus_7481pos,2,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_L32,base_common,dev_corpus_7481pos,0.0031511520297778555,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_low_L32,base_common,dev_corpus_7481pos,0.002655532218255289,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_high_L32,base_common,dev_corpus_7481pos,0.003640689891287012,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,occupancy_median_L40,own,dev_corpus_7481pos,2,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_L40,own,dev_corpus_7481pos,0.005896413416972668,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_low_L40,own,dev_corpus_7481pos,0.005342077603345652,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_high_L40,own,dev_corpus_7481pos,0.006497496556063868,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,occupancy_median_L40,base_common,dev_corpus_7481pos,2,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_L40,base_common,dev_corpus_7481pos,0.005896413416972668,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_low_L40,base_common,dev_corpus_7481pos,0.005342077603345652,development,ol-capacity-olmo3-base-dev-v1
olmo3-base,capacity,centered_excess_ci90_high_L40,base_common,dev_corpus_7481pos,0.006497496556063868,development,ol-capacity-olmo3-base-dev-v1
olmo3-think,capacity,occupancy_median_L24,own,dev_corpus_7481pos,2,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_L24,own,dev_corpus_7481pos,0.0006497844820475178,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_ci90_low_L24,own,dev_corpus_7481pos,0.00040538316280861456,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_ci90_high_L24,own,dev_corpus_7481pos,0.0009218031744713769,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,occupancy_median_L24,base_common,dev_corpus_7481pos,2,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_L24,base_common,dev_corpus_7481pos,-0.000770205311250975,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_ci90_low_L24,base_common,dev_corpus_7481pos,-0.001239403320102263,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_ci90_high_L24,base_common,dev_corpus_7481pos,-0.00029999735757796564,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,occupancy_median_L32,own,dev_corpus_7481pos,2,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_L32,own,dev_corpus_7481pos,0.0033914125213099595,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_ci90_low_L32,own,dev_corpus_7481pos,0.0030413138443344014,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_ci90_high_L32,own,dev_corpus_7481pos,0.00378678950752039,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,occupancy_median_L32,base_common,dev_corpus_7481pos,2,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_L32,base_common,dev_corpus_7481pos,0.0017593389518303732,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_ci90_low_L32,base_common,dev_corpus_7481pos,0.0013737064856829625,development,ol-capacity-olmo3-think-dev-v1
olmo3-think,capacity,centered_excess_ci90_high_L32,base_common,dev_corpus_7481pos,0.0021428230685582622,development,ol-capacity-olmo3-think-dev-v1
