model,source_layer,desired_relative_epsilon,central_err,tangent_cos,n
Gemma 4 31B,22,0.01,1.1103670315278502,0.5079318881034851,9
Gemma 4 31B,22,0.02,1.8970444253175063,0.1983110010623932,19
Gemma 4 31B,22,0.05,2.922970836214017,0.1261400394141674,24
Gemma 4 31B,22,0.1,4.433563917084603,0.016627149656414986,25
Gemma 4 31B,22,0.2,4.159112926356367,0.25208327174186707,29
Gemma 4 31B,30,0.01,0.2250480528094293,0.8690659999847412,11
Gemma 4 31B,30,0.02,0.581251082737535,0.7332904934883118,23
Gemma 4 31B,30,0.05,1.2207791006533957,0.45527440309524536,24
Gemma 4 31B,30,0.1,2.2168743685429124,0.20072725415229797,26
Gemma 4 31B,30,0.2,3.9059130814459317,0.09283318370580673,31
Gemma 4 31B,37,0.01,1.367226655378058,0.5764862298965454,3
Gemma 4 31B,37,0.02,2.1592261850581655,0.21035878360271454,22
Gemma 4 31B,37,0.05,5.728172628014134,0.09963321685791016,24
Gemma 4 31B,37,0.1,10.423527996350199,0.06678516417741776,27
Gemma 4 31B,37,0.2,19.742456801221056,0.13558562844991684,30
Gemma 4 31B,44,0.02,2.728066257647057,0.04876731336116791,17
Gemma 4 31B,44,0.05,6.353083912816761,0.03672487195581198,24
Gemma 4 31B,44,0.1,12.211607245656241,0.08570237457752228,25
Gemma 4 31B,44,0.2,22.516690806164167,0.14390650391578674,31
Gemma 4 31B,52,0.05,5.398857003296341,0.1313430443406105,24
Gemma 4 31B,52,0.1,9.053449556281391,0.1621449813246727,28
Gemma 4 31B,52,0.2,15.863259942023635,0.19249282032251358,32
OLMo-3 32B Think (control),4,0.05,0.33177331319425013,0.807524561882019,7
OLMo-3 32B Think (control),4,0.1,0.34901287882352783,0.8201393485069275,17
OLMo-3 32B Think (control),4,0.2,0.2686036379050227,0.8782633543014526,29
OLMo-3 32B Think (control),24,0.05,0.3089165084392246,0.8481332659721375,12
OLMo-3 32B Think (control),24,0.1,0.18725110992688962,0.9240047335624695,29
OLMo-3 32B Think (control),24,0.2,0.15816123430002194,0.9348792433738708,32
OLMo-3 32B Think (control),32,0.05,0.21327443017343045,0.9171690046787262,26
OLMo-3 32B Think (control),32,0.1,0.13462176677941873,0.9534264802932739,32
OLMo-3 32B Think (control),32,0.2,0.16195487490221022,0.9250295758247375,32
OLMo-3 32B Think (control),40,0.05,0.20322853325802703,0.9278352856636047,26
OLMo-3 32B Think (control),40,0.1,0.11786506429349519,0.9649296402931213,32
OLMo-3 32B Think (control),40,0.2,0.17526380346299625,0.9260230660438538,32
OLMo-3 32B Think (control),47,0.05,0.16263781340140715,0.9502639770507812,29
OLMo-3 32B Think (control),47,0.1,0.10671886434012437,0.9656117558479309,31
OLMo-3 32B Think (control),47,0.2,0.15953766832057725,0.9403059780597687,32
OLMo-3 32B Think (control),56,0.05,0.11778151361275856,0.9703806042671204,26
OLMo-3 32B Think (control),56,0.1,0.06505935600779525,0.9899183511734009,31
OLMo-3 32B Think (control),56,0.2,0.08438810156134788,0.9782449007034302,32
OLMo-3 32B Think (control),60,0.05,0.07717872117736954,0.9882538318634033,27
OLMo-3 32B Think (control),60,0.1,0.039662336622029365,0.9956396222114563,32
OLMo-3 32B Think (control),60,0.2,0.04195670161392113,0.9940603375434875,32
