prompt,seq_len,n_valid,seconds,max_jacobian_norm_over_sqrt_d,max_d_mean,sources
181,128,111,207.0,8.146,0.0217,plain:qwen_fit_drawA_n250_20260801.log
182,128,111,165.0,7.977,0.0214,plain:qwen_fit_drawA_n250_20260801.log
183,128,111,164.0,4.737,0.0129,plain:qwen_fit_drawA_n250_20260801.log
184,128,111,164.0,7.191,0.0195,plain:qwen_fit_drawA_n250_20260801.log
185,128,111,165.0,6.736,0.0173,plain:qwen_fit_drawA_n250_20260801.log
186,128,111,164.0,8.694,0.0239,plain:qwen_fit_drawA_n250_20260801.log
187,128,111,164.0,6.62,0.0173,plain:qwen_fit_drawA_n250_20260801.log
188,128,111,164.0,7.102,0.0185,plain:qwen_fit_drawA_n250_20260801.log
189,128,111,164.0,9.665,0.0274,plain:qwen_fit_drawA_n250_20260801.log
190,128,111,165.0,10.076,0.0262,plain:qwen_fit_drawA_n250_20260801.log
191,128,111,166.0,11.501,0.0298,plain:qwen_fit_drawA_n250_20260801.log
192,128,111,165.0,12.096,0.0316,plain:qwen_fit_drawA_n250_20260801.log
193,128,111,164.0,8.217,0.0211,plain:qwen_fit_drawA_n250_20260801.log
194,128,111,166.0,7.723,0.0199,plain:qwen_fit_drawA_n250_20260801.log
195,128,111,165.0,11.959,0.0307,plain:qwen_fit_drawA_n250_20260801.log
196,128,111,164.0,6.476,0.0164,plain:qwen_fit_drawA_n250_20260801.log
197,128,111,165.0,7.165,0.0182,plain:qwen_fit_drawA_n250_20260801.log
198,128,111,164.0,31.722,0.081,plain:qwen_fit_drawA_n250_20260801.log
199,128,111,164.0,5.552,0.0139,plain:qwen_fit_drawA_n250_20260801.log
200,128,111,165.0,4.219,0.0109,plain:qwen_fit_drawA_n250_20260801.log
201,128,111,164.0,18.147,0.0486,plain:qwen_fit_drawA_n250_20260801.log
202,128,111,164.0,4.537,0.0115,plain:qwen_fit_drawA_n250_20260801.log
203,128,111,164.0,13.023,0.0325,plain:qwen_fit_drawA_n250_20260801.log
204,128,111,164.0,6.217,0.015,plain:qwen_fit_drawA_n250_20260801.log
205,128,111,164.0,4.864,0.0121,plain:qwen_fit_drawA_n250_20260801.log
206,128,111,165.0,10.993,0.0296,plain:qwen_fit_drawA_n250_20260801.log
207,128,111,164.0,6.306,0.0154,plain:qwen_fit_drawA_n250_20260801.log
208,128,111,164.0,7.136,0.0185,plain:qwen_fit_drawA_n250_20260801.log
209,128,111,165.0,5.101,0.0125,plain:qwen_fit_drawA_n250_20260801.log
210,128,111,164.0,5.809,0.0141,plain:qwen_fit_drawA_n250_20260801.log
211,128,111,164.0,5.709,0.0138,plain:qwen_fit_drawA_n250_20260801.log
212,128,111,166.0,9.272,0.0221,plain:qwen_fit_drawA_n250_20260801.log
213,128,111,164.0,6.543,0.0156,plain:qwen_fit_drawA_n250_20260801.log
214,128,111,164.0,7.496,0.021,plain:qwen_fit_drawA_n250_20260801.log
215,128,111,166.0,7.498,0.0179,plain:qwen_fit_drawA_n250_20260801.log
216,128,111,164.0,11.243,0.0282,plain:qwen_fit_drawA_n250_20260801.log
217,128,111,164.0,9.645,0.0239,plain:qwen_fit_drawA_n250_20260801.log
218,128,111,165.0,5.362,0.0128,plain:qwen_fit_drawA_n250_20260801.log
219,128,111,164.0,8.299,0.0194,plain:qwen_fit_drawA_n250_20260801.log
220,128,111,164.0,7.744,0.0179,plain:qwen_fit_drawA_n250_20260801.log
221,128,111,166.0,7.246,0.0167,plain:qwen_fit_drawA_n250_20260801.log
