scenario_id,family,incidental_id,tokens_pole_0,tokens_pole_1,token_delta,token_delta_rel,length_ok,framing_mentions_pole_0_only_words,framing_mentions_pole_1_only_words,framing_mention_balance_ok,valence_hits_pole_0,valence_hits_pole_1,valence_flag,expected_valence_for_family,preflag_for_human_review
ar_naming_parser,AR,i0,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_parser,AR,i1,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_parser,AR,i2,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_parser,AR,i3,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_parser,AR,i4,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_serializer,AR,i0,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_serializer,AR,i1,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_serializer,AR,i2,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_serializer,AR,i3,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_serializer,AR,i4,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_config,AR,i0,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_config,AR,i1,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_config,AR,i2,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_config,AR,i3,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_naming_config,AR,i4,14,14,0,0.0,1,0,0,1,,,0,0,0
ar_execmode_ingest,AR,i0,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_execmode_ingest,AR,i1,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_execmode_ingest,AR,i2,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_execmode_ingest,AR,i3,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_execmode_ingest,AR,i4,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_execmode_migration,AR,i0,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_execmode_migration,AR,i1,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_execmode_migration,AR,i2,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_execmode_migration,AR,i3,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_execmode_migration,AR,i4,16,14,2,0.125,1,0,0,1,,,0,0,0
ar_taskorder_setup,AR,i0,13,13,0,0.0,1,0,0,1,,,0,0,0
ar_taskorder_setup,AR,i1,12,12,0,0.0,1,0,0,1,,,0,0,0
ar_taskorder_setup,AR,i2,12,12,0,0.0,1,0,0,1,,,0,0,0
ar_taskorder_setup,AR,i3,13,13,0,0.0,1,0,0,1,,,0,0,0
ar_taskorder_setup,AR,i4,12,12,0,0.0,1,0,0,1,,,0,0,0
ar_component_library,AR,i0,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_component_library,AR,i1,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_component_library,AR,i2,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_component_library,AR,i3,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_component_library,AR,i4,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_seed_benchmark,AR,i0,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_seed_benchmark,AR,i1,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_seed_benchmark,AR,i2,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_seed_benchmark,AR,i3,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_seed_benchmark,AR,i4,10,10,0,0.0,1,0,0,1,,,0,0,0
ar_docsection_readme,AR,i0,11,11,0,0.0,1,0,0,1,,,0,0,0
ar_docsection_readme,AR,i1,11,11,0,0.0,1,0,0,1,,,0,0,0
ar_docsection_readme,AR,i2,11,11,0,0.0,1,0,0,1,,,0,0,0
ar_docsection_readme,AR,i3,11,11,0,0.0,1,0,0,1,,,0,0,0
ar_docsection_readme,AR,i4,11,11,0,0.0,1,0,0,1,,,0,0,0
ar_testfix_suite,AR,i0,11,11,0,0.0,1,0,0,1,,,0,0,0
ar_testfix_suite,AR,i1,13,13,0,0.0,1,0,0,1,,,0,0,0
ar_testfix_suite,AR,i2,11,11,0,0.0,1,0,0,1,,,0,0,0
ar_testfix_suite,AR,i3,12,12,0,0.0,1,0,0,1,,,0,0,0
ar_testfix_suite,AR,i4,12,12,0,0.0,1,0,0,1,,,0,0,0
ar_logformat_service,AR,i0,15,14,1,0.0667,1,0,0,1,,,0,0,0
ar_logformat_service,AR,i1,15,14,1,0.0667,1,0,0,1,,,0,0,0
ar_logformat_service,AR,i2,15,14,1,0.0667,1,0,0,1,,,0,0,0
ar_logformat_service,AR,i3,15,14,1,0.0667,1,0,0,1,,,0,0,0
ar_logformat_service,AR,i4,15,14,1,0.0667,1,0,0,1,,,0,0,0
ar_traversal_indexer,AR,i0,13,13,0,0.0,1,0,0,1,,,0,0,0
ar_traversal_indexer,AR,i1,13,13,0,0.0,1,0,0,1,,,0,0,0
ar_traversal_indexer,AR,i2,13,13,0,0.0,1,0,0,1,,,0,0,0
ar_traversal_indexer,AR,i3,13,13,0,0.0,1,0,0,1,,,0,0,0
ar_traversal_indexer,AR,i4,13,13,0,0.0,1,0,0,1,,,0,0,0
