item_id,semantic_key,scientific_content_hash,prompt_hash
ar-ar_naming_parser-i0-ar-o0-ll-c0-fe-034c8af222f9,ar-ar_naming_parser-i0-ar-o0-ll-c0-fe,034c8af222f9f7347b9ad6c8f926e7d92241cee84c1d43e0d9c72bbbeb4d1508,17ec26d929f623e5e5a6e28a1e3017702ff0503975ff94ebf42c32359d5b2555
ar-ar_naming_parser-i0-ar-o0-ll-c0-fh-6ae3af2f5621,ar-ar_naming_parser-i0-ar-o0-ll-c0-fh,6ae3af2f5621d5e025a936e1b731aee45ddac52916353c0190a2ad535ad3e3c2,46428e1362967e98964b7e2f9b12cc1115e80748aa718453c060735beac9b7ae
ar-ar_naming_parser-i0-ro-o0-ll-c0-fx-d43d58e8ca69,ar-ar_naming_parser-i0-ro-o0-ll-c0-fx,d43d58e8ca692a29e3b32250a6df1ca1ea44ae6fc8cdfcfd82ee08578fdbe59f,231869eda29f705eda0284787a46e38143c97677765776bccd9ebdd385caf690
ar-ar_naming_parser-i0-ar-o0-ll-c1-fe-b8cf37de1a1c,ar-ar_naming_parser-i0-ar-o0-ll-c1-fe,b8cf37de1a1c77fd707571f3a082ca9a4d63316d2a4622a271219194be69d04f,9cb2d4ce52b3d0cea5b0c2022062ff9684112f3d8e2be4b9d05d65a17a5f2dfc
ar-ar_naming_parser-i0-ar-o0-ll-c1-fh-c6b3a795f3f0,ar-ar_naming_parser-i0-ar-o0-ll-c1-fh,c6b3a795f3f0c64251270e6a5be659dcdd32ca143ed3781f9989eccf0cc25db5,c7e0575e12df4ddf177db8c043ce047efdeb031a05b90b925a522b988a97fa21
ar-ar_naming_parser-i0-ro-o0-ll-c1-fx-66f4b9705df3,ar-ar_naming_parser-i0-ro-o0-ll-c1-fx,66f4b9705df3b90598071e1d87ee91283aeb2841823d1a4a9b3c01ca8bbc035a,214881fde86e416445a6ad8d641b031c6617173843117982ae607f283c1e46a9
ar-ar_naming_parser-i0-ar-o0-ln-c0-fe-5a1322fd647c,ar-ar_naming_parser-i0-ar-o0-ln-c0-fe,5a1322fd647c6751912733eb1bf02b03f77dccadd9b36d132b9f795751118ee8,a82ef19fa85b5a2e82430db467799988dc065d337df445ad1be99fd57fb86315
ar-ar_naming_parser-i0-ar-o0-ln-c0-fh-053e93816ae1,ar-ar_naming_parser-i0-ar-o0-ln-c0-fh,053e93816ae17ec2bc96a0e8d7f1a60aba4ff495584a114942971747e053dbba,ebfa33970f7c00670448e72cb9dac818d432434926722808b8fa86a1f219d996
ar-ar_naming_parser-i0-ro-o0-ln-c0-fx-114a1d8f8067,ar-ar_naming_parser-i0-ro-o0-ln-c0-fx,114a1d8f8067f633bd5625eb775e22bc9cc25e004cd708734786edf768d4fa7e,7fe44bf6e84d609641d01c1673f32d75f2a724122edcdc844097c4172f17ddcf
ar-ar_naming_parser-i0-ar-o0-ln-c1-fe-d33fc3582768,ar-ar_naming_parser-i0-ar-o0-ln-c1-fe,d33fc3582768cc52b7ffb0192bede06832fdaa0d5d1afa3778f76ba2320d37f1,cf93d38a348053d2b978f81f194a5e728f5accc57010fdf8ddfc3a52e528d579
ar-ar_naming_parser-i0-ar-o0-ln-c1-fh-47ff114ee073,ar-ar_naming_parser-i0-ar-o0-ln-c1-fh,47ff114ee0737fe23d4cced30569bd47315298b3f6ab8279b022987800c9b324,981bddc5dfc3980fa0b6ae9848ab0ff9bda33c35bf77966585bcaf36106999f4
ar-ar_naming_parser-i0-ro-o0-ln-c1-fx-07005e637e29,ar-ar_naming_parser-i0-ro-o0-ln-c1-fx,07005e637e290b2ae5a069e5ca3c3fc4912a01faebd46c48422531eb765986c0,cb06acc6abc03309cddf86a601442cb90365d8250c1818e09182a48e0981daf7
ar-ar_naming_parser-i0-ar-o1-ll-c0-fe-716838c41df4,ar-ar_naming_parser-i0-ar-o1-ll-c0-fe,716838c41df4bdced533890f6858249f17802d385e049f30391e6739a675b78d,981c5d04b6ee6833a176980af79251cff2e868d8685df9ed7540aacb50519627
ar-ar_naming_parser-i0-ar-o1-ll-c0-fh-7ee744f6d4b0,ar-ar_naming_parser-i0-ar-o1-ll-c0-fh,7ee744f6d4b01d777cc177cfc4af0d609a0acf9477f7d73dd598e87ba1b47fb3,c6b595b38383f4be82c38cc215ab3204aee731febbfc8a4097099acba5e105b2
ar-ar_naming_parser-i0-ro-o1-ll-c0-fx-6d9a5bca3855,ar-ar_naming_parser-i0-ro-o1-ll-c0-fx,6d9a5bca385522797f2e4586f3a02ab9067bb76f097c955a4bd855c0b6f3a9ae,71d54514c8cdfb53cb1c012a89cb2566e1b27ff31f031fba27afee02ea6cdbd5
ar-ar_naming_parser-i0-ar-o1-ll-c1-fe-1d85e71b93c3,ar-ar_naming_parser-i0-ar-o1-ll-c1-fe,1d85e71b93c3b894e77664c2b232fde605ee70fe426b1b5eed83df180347697c,40e1f53e44ac424bda0cf72d842d763fccf3784e46cf9adc1638f1b71f3d3ef9
ar-ar_naming_parser-i0-ar-o1-ll-c1-fh-9a0c56b5bf7b,ar-ar_naming_parser-i0-ar-o1-ll-c1-fh,9a0c56b5bf7b4d69a4804a9352715c04416df3d3d95e8fb9a1260b6dc3dc8862,074d3f8064c9ab64ed4f6995dc6cb85736338fa8b22cd9e6a5e3643267034b07
ar-ar_naming_parser-i0-ro-o1-ll-c1-fx-4bfe2eee7f5d,ar-ar_naming_parser-i0-ro-o1-ll-c1-fx,4bfe2eee7f5deffaa0dbfb1a6970b96427b7c1be02afb71358973ea9846af65b,f72692ebade2ac3ef3aa837a26e2559042f45b6382dfecfc06acd6bd5dcb64b1
ar-ar_naming_parser-i0-ar-o1-ln-c0-fe-04ce00a8964c,ar-ar_naming_parser-i0-ar-o1-ln-c0-fe,04ce00a8964cdd41b3fc417a43ef84edb965d9cc3d147a293599ac7a82377edc,f741cd542fe452d061318388b60258d1bbb69acea801438901499d4ecd19d5c1
ar-ar_naming_parser-i0-ar-o1-ln-c0-fh-673b989e76df,ar-ar_naming_parser-i0-ar-o1-ln-c0-fh,673b989e76df46f8a0a6a0d37b20cde137a0d56a92ba10f4222520b91d4ae4d6,f36df4466ce42a1e348544550657e0e756d9488c2120169770e0ae4a325dc3d7
ar-ar_naming_parser-i0-ro-o1-ln-c0-fx-d7006f04ceea,ar-ar_naming_parser-i0-ro-o1-ln-c0-fx,d7006f04ceeaa608608302127e5c2a56ca7edcc039261de095add182d546746f,ebf32835425411b3cba86c5a59b47bbfd6bb026bb4503078fad150cc7f6a7874
ar-ar_naming_parser-i0-ar-o1-ln-c1-fe-1cb5ddee463f,ar-ar_naming_parser-i0-ar-o1-ln-c1-fe,1cb5ddee463fb130adaf3d2d370637bc6d08b55344564633a3acbd62d1009b90,d5ef3a5fe07216eb64a019c0c49e563175a15b7ee4ca66eea6860d1e344ba387
ar-ar_naming_parser-i0-ar-o1-ln-c1-fh-ae5e3973325a,ar-ar_naming_parser-i0-ar-o1-ln-c1-fh,ae5e3973325afe436309a7d0febeda1859710f81120a4f2000242f132b3290ee,acee3bc175fbb0a2c88177a14f7241cbf2e2479856ce163327ec11fbd341189c
ar-ar_naming_parser-i0-ro-o1-ln-c1-fx-2b139eff5277,ar-ar_naming_parser-i0-ro-o1-ln-c1-fx,2b139eff5277b0e90d1e40ea69451ead11e81ae4410ca22ef0ae483087424f4e,c91763e770128ce39de741468913ab77863d36373fd3e5cfcf57e800d77d0352
ar-ar_naming_parser-i1-ar-o0-ll-c0-fe-a130c8f80514,ar-ar_naming_parser-i1-ar-o0-ll-c0-fe,a130c8f80514afe4ac123fd9e10f56a73146eb6f991eb874f34674619c99986e,14ee4422f9be73a95ea03e736f40d66172f00650b8ec3e9003f405b0dc7f2c0d
ar-ar_naming_parser-i1-ar-o0-ll-c0-fh-9c32705259c7,ar-ar_naming_parser-i1-ar-o0-ll-c0-fh,9c32705259c77c15d435544e91e8740b76b8f48d92123495754115b36afefdbe,0b92f1ab204e486f5d93d31866ade16e893b9a319eb2395f2d97dddb7469d347
ar-ar_naming_parser-i1-ro-o0-ll-c0-fx-535aae2ce30a,ar-ar_naming_parser-i1-ro-o0-ll-c0-fx,535aae2ce30a3aa742afe238b055c4f46bd78c5feda46fd8ab90b60a53ac6f91,0ecf9f3d6d72c2cea26a22e2c041f3dd8443353fd6f1e3721a7587b69398c0e0
ar-ar_naming_parser-i1-ar-o0-ll-c1-fe-852879a0480a,ar-ar_naming_parser-i1-ar-o0-ll-c1-fe,852879a0480aafb3f7391b4a575b00d8d8437e8cb9b1689d4dafff356ab55a7f,445a55e9f5714bcc5d5f537d552b99f32a55665bf8e599433807b8cfeed3c767
ar-ar_naming_parser-i1-ar-o0-ll-c1-fh-a3879fb385af,ar-ar_naming_parser-i1-ar-o0-ll-c1-fh,a3879fb385af89d6c29ec94b3fcb6639c7aff58b6c051ad62b85ae15a93ac46d,bb7f201571185e6cd689eb0cca7cd4f72a75a9cba3c482db68f1ec2f477cc781
