pair_key,ar_item_id,ro_item_id,content_identical
ar_naming_parser|i0|o0|letters|c0,ar-ar_naming_parser-i0-ar-o0-ll-c0-fe-034c8af222f9,ar-ar_naming_parser-i0-ro-o0-ll-c0-fx-d43d58e8ca69,1
ar_naming_parser|i0|o0|letters|c1,ar-ar_naming_parser-i0-ar-o0-ll-c1-fe-b8cf37de1a1c,ar-ar_naming_parser-i0-ro-o0-ll-c1-fx-66f4b9705df3,1
ar_naming_parser|i0|o0|numbers|c0,ar-ar_naming_parser-i0-ar-o0-ln-c0-fe-5a1322fd647c,ar-ar_naming_parser-i0-ro-o0-ln-c0-fx-114a1d8f8067,1
ar_naming_parser|i0|o0|numbers|c1,ar-ar_naming_parser-i0-ar-o0-ln-c1-fe-d33fc3582768,ar-ar_naming_parser-i0-ro-o0-ln-c1-fx-07005e637e29,1
ar_naming_parser|i0|o1|letters|c0,ar-ar_naming_parser-i0-ar-o1-ll-c0-fe-716838c41df4,ar-ar_naming_parser-i0-ro-o1-ll-c0-fx-6d9a5bca3855,1
ar_naming_parser|i0|o1|letters|c1,ar-ar_naming_parser-i0-ar-o1-ll-c1-fe-1d85e71b93c3,ar-ar_naming_parser-i0-ro-o1-ll-c1-fx-4bfe2eee7f5d,1
ar_naming_parser|i0|o1|numbers|c0,ar-ar_naming_parser-i0-ar-o1-ln-c0-fe-04ce00a8964c,ar-ar_naming_parser-i0-ro-o1-ln-c0-fx-d7006f04ceea,1
ar_naming_parser|i0|o1|numbers|c1,ar-ar_naming_parser-i0-ar-o1-ln-c1-fe-1cb5ddee463f,ar-ar_naming_parser-i0-ro-o1-ln-c1-fx-2b139eff5277,1
ar_naming_parser|i1|o0|letters|c0,ar-ar_naming_parser-i1-ar-o0-ll-c0-fe-a130c8f80514,ar-ar_naming_parser-i1-ro-o0-ll-c0-fx-535aae2ce30a,1
ar_naming_parser|i1|o0|letters|c1,ar-ar_naming_parser-i1-ar-o0-ll-c1-fe-852879a0480a,ar-ar_naming_parser-i1-ro-o0-ll-c1-fx-0af68cd57835,1
ar_naming_parser|i1|o0|numbers|c0,ar-ar_naming_parser-i1-ar-o0-ln-c0-fe-94a3f5ebbeee,ar-ar_naming_parser-i1-ro-o0-ln-c0-fx-093b8196cb60,1
ar_naming_parser|i1|o0|numbers|c1,ar-ar_naming_parser-i1-ar-o0-ln-c1-fe-1508698b4678,ar-ar_naming_parser-i1-ro-o0-ln-c1-fx-56aa1454a809,1
ar_naming_parser|i1|o1|letters|c0,ar-ar_naming_parser-i1-ar-o1-ll-c0-fe-673a5da82c56,ar-ar_naming_parser-i1-ro-o1-ll-c0-fx-6c23495a2319,1
ar_naming_parser|i1|o1|letters|c1,ar-ar_naming_parser-i1-ar-o1-ll-c1-fe-1c6647186c78,ar-ar_naming_parser-i1-ro-o1-ll-c1-fx-5145edebfd31,1
ar_naming_parser|i1|o1|numbers|c0,ar-ar_naming_parser-i1-ar-o1-ln-c0-fe-c7aa157f0d37,ar-ar_naming_parser-i1-ro-o1-ln-c0-fx-abc4d56f049a,1
ar_naming_parser|i1|o1|numbers|c1,ar-ar_naming_parser-i1-ar-o1-ln-c1-fe-3fb909f5ad9f,ar-ar_naming_parser-i1-ro-o1-ln-c1-fx-0f86d12ce1ab,1
ar_naming_parser|i2|o0|letters|c0,ar-ar_naming_parser-i2-ar-o0-ll-c0-fe-d5ac42bca8fe,ar-ar_naming_parser-i2-ro-o0-ll-c0-fx-e0fd28745d08,1
ar_naming_parser|i2|o0|letters|c1,ar-ar_naming_parser-i2-ar-o0-ll-c1-fe-f3328c787a72,ar-ar_naming_parser-i2-ro-o0-ll-c1-fx-702ed5ceab3c,1
ar_naming_parser|i2|o0|numbers|c0,ar-ar_naming_parser-i2-ar-o0-ln-c0-fe-6ba4b04af74c,ar-ar_naming_parser-i2-ro-o0-ln-c0-fx-4cd7404b4a3d,1
ar_naming_parser|i2|o0|numbers|c1,ar-ar_naming_parser-i2-ar-o0-ln-c1-fe-0311714c47a2,ar-ar_naming_parser-i2-ro-o0-ln-c1-fx-ce3273529528,1
ar_naming_parser|i2|o1|letters|c0,ar-ar_naming_parser-i2-ar-o1-ll-c0-fe-96c074a04d2a,ar-ar_naming_parser-i2-ro-o1-ll-c0-fx-6dfbf74e6962,1
ar_naming_parser|i2|o1|letters|c1,ar-ar_naming_parser-i2-ar-o1-ll-c1-fe-bdcd2170831c,ar-ar_naming_parser-i2-ro-o1-ll-c1-fx-4a2c566dc21a,1
ar_naming_parser|i2|o1|numbers|c0,ar-ar_naming_parser-i2-ar-o1-ln-c0-fe-3744d7ac69fe,ar-ar_naming_parser-i2-ro-o1-ln-c0-fx-ca0fb62a91f3,1
ar_naming_parser|i2|o1|numbers|c1,ar-ar_naming_parser-i2-ar-o1-ln-c1-fe-b488ff285e37,ar-ar_naming_parser-i2-ro-o1-ln-c1-fx-babd25e5b057,1
