item_id,scenario_id,channel,family,q_pole_0,q_pole_1,margin,margin_finite
ar-ar_component_library-i0-ar-o0-ll-c0-fe-5e2bfab31ea4,ar_component_library,AR,AR,-0.20183412730690975,-1.701833963394158,-1.4999998360872482,1
ar-ar_component_library-i0-ar-o0-ll-c0-fh-ba43613cb0e8,ar_component_library,AR,AR,-0.1429794430732656,-2.017979383468628,-1.8749999403953623,1
ar-ar_component_library-i0-ar-o0-ll-c1-fe-d24e8eaf1456,ar_component_library,AR,AR,-0.07926352322078856,-2.579263210296517,-2.4999996870757286,1
ar-ar_component_library-i0-ar-o0-ll-c1-fh-6abd9e7eba1f,ar_component_library,AR,AR,-0.05525723844755248,-2.930257081985445,-2.8749998435378927,1
ar-ar_component_library-i0-ar-o0-ln-c0-fe-6bf0303cebd1,ar_component_library,AR,AR,-0.22586841881274466,-1.6008683443069458,-1.3749999254942011,1
ar-ar_component_library-i0-ar-o0-ln-c0-fh-3b2b9f44ebe6,ar_component_library,AR,AR,-0.1273011565208364,-2.127300977706909,-1.9999998211860728,1
ar-ar_component_library-i0-ar-o0-ln-c1-fe-06e09cf359cd,ar_component_library,AR,AR,-0.08933682739731807,-2.4643368721008017,-2.3750000447034836,1
ar-ar_component_library-i0-ar-o0-ln-c1-fh-937b9e1b5746,ar_component_library,AR,AR,-0.04339825361966376,-3.1683982610702444,-3.1250000074505806,1
ar-ar_component_library-i0-ar-o1-ll-c0-fe-f63989a2b39b,ar_component_library,AR,AR,-1.2240631580352215,-0.3490647971609633,0.8749983608742582,1
ar-ar_component_library-i0-ar-o1-ll-c0-fh-f22472a0342e,ar_component_library,AR,AR,-1.224056243896456,-0.3490605056181266,0.8749957382783293,1
ar-ar_component_library-i0-ar-o1-ll-c1-fe-80bf61e06d39,ar_component_library,AR,AR,-0.5239188075065542,-0.898919284343549,-0.3750004768369948,1
ar-ar_component_library-i0-ar-o1-ll-c1-fh-ba0fa3fcedee,ar_component_library,AR,AR,-0.5237464904785085,-0.898747086524736,-0.3750005960462275,1
ar-ar_component_library-i0-ar-o1-ln-c0-fe-fe9a06f054b3,ar_component_library,AR,AR,-1.0543839931487753,-0.4293842911719139,0.6249997019768614,1
ar-ar_component_library-i0-ar-o1-ln-c0-fh-2a8c1258b75d,ar_component_library,AR,AR,-1.2242152690887167,-0.3492159247393829,0.8749993443493338,1
ar-ar_component_library-i0-ar-o1-ln-c1-fe-42b5b7817db2,ar_component_library,AR,AR,-0.42944109439849143,-1.0544413328170208,-0.6250002384185294,1
ar-ar_component_library-i0-ar-o1-ln-c1-fh-ec629aa07785,ar_component_library,AR,AR,-0.4748651385307241,-0.9748652577399923,-0.5000001192092682,1
ar-ar_component_library-i0-ro-o0-ll-c0-fx-e7c4499a3778,ar_component_library,RO,AR,-0.5251738429069519,-0.9001743197439964,-0.3750004768370445,1
ar-ar_component_library-i0-ro-o0-ll-c1-fx-c63ace27368d,ar_component_library,RO,AR,-0.25371327996251125,-1.5037131309509206,-1.2499998509884094,1
ar-ar_component_library-i0-ro-o0-ln-c0-fx-da4f020603f1,ar_component_library,RO,AR,-0.5250043869018555,-0.9000046253204061,-0.3750002384185507,1
ar-ar_component_library-i0-ro-o0-ln-c1-fx-6f6b9250dc0e,ar_component_library,RO,AR,-0.25382840633391623,-1.5038282871246338,-1.2499998807907176,1
ar-ar_component_library-i0-ro-o1-ll-c0-fx-481e66c32e30,ar_component_library,RO,AR,-0.5258814692497182,-0.9008814692497182,-0.375,1
ar-ar_component_library-i0-ro-o1-ll-c1-fx-688a9593a0b1,ar_component_library,RO,AR,-0.25404676795002956,-1.504046797752352,-1.2500000298023224,1
ar-ar_component_library-i0-ro-o1-ln-c0-fx-d7d9d8e6c7e9,ar_component_library,RO,AR,-0.5261000394821167,-0.9011002779006674,-0.3750002384185507,1
ar-ar_component_library-i0-ro-o1-ln-c1-fx-6df1ecad9e79,ar_component_library,RO,AR,-0.22789305448529262,-1.6028929948806692,-1.3749999403953765,1
ar-ar_component_library-i1-ar-o0-ll-c0-fe-2f6c762eb8e0,ar_component_library,AR,AR,-0.22573842108246822,-1.6007382869720388,-1.3749998658895706,1
ar-ar_component_library-i1-ar-o0-ll-c0-fh-91c1696a8513,ar_component_library,AR,AR,-0.14291663467881222,-2.017916440963745,-1.874999806284933,1
ar-ar_component_library-i1-ar-o0-ll-c1-fe-f59a39fd778f,ar_component_library,AR,AR,-0.07021503895475689,-2.695214390754643,-2.624999351799886,1
ar-ar_component_library-i1-ar-o0-ll-c1-fh-9bf8a4200f9e,ar_component_library,AR,AR,-0.062255021184341786,-2.812254428863497,-2.749999407679155,1
ar-ar_component_library-i1-ar-o0-ln-c0-fe-cea25174b402,ar_component_library,AR,AR,-0.2522675096988607,-1.5022673606872559,-1.2499998509883952,1
ar-ar_component_library-i1-ar-o0-ln-c0-fh-303124e46f2b,ar_component_library,AR,AR,-0.14298079907893424,-2.0179805755615234,-1.8749997764825892,1
ar-ar_component_library-i1-ar-o0-ln-c1-fe-9b2ad3080033,ar_component_library,AR,AR,-0.06222676485771217,-2.812226533889742,-2.74999976903203,1
ar-ar_component_library-i1-ar-o0-ln-c1-fh-5920ce2643a9,ar_component_library,AR,AR,-0.04886551946395912,-3.0488653182983114,-2.9999997988343523,1
ar-ar_component_library-i1-ar-o1-ll-c0-fe-6c5dcf7e2f12,ar_component_library,AR,AR,-1.0542553663252647,-0.429265648069304,0.6249897182559607,1
ar-ar_component_library-i1-ar-o1-ll-c0-fh-7efe9acf3bdc,ar_component_library,AR,AR,-1.0542243719100384,-0.4293937539041508,0.6248306180058876,1
ar-ar_component_library-i1-ar-o1-ll-c1-fe-8d4c0d4e6858,ar_component_library,AR,AR,-0.38745033740996604,-1.137452721592581,-0.7500023841826149,1
ar-ar_component_library-i1-ar-o1-ll-c1-fh-63717e6c290e,ar_component_library,AR,AR,-0.4745835065841675,-0.9745846986763809,-0.5000011920922134,1
ar-ar_component_library-i1-ar-o1-ln-c0-fe-a189d06d0805,ar_component_library,AR,AR,-0.9746288657188131,-0.47462981939247584,0.4999990463263373,1
ar-ar_component_library-i1-ar-o1-ln-c0-fh-ef90fba2d50f,ar_component_library,AR,AR,-1.0543173551559164,-0.42932835215015075,0.6249890030057657,1
ar-ar_component_library-i1-ar-o1-ln-c1-fe-6058fe46172c,ar_component_library,AR,AR,-0.3138354420661926,-1.3138362169262336,-1.000000774860041,1
