scenario_id,family,abs_content,abs_position,abs_code,abs_label
ar_component_library,AR,0.22499999999999998,0.275,0.22499999999999998,0.050000000000000044
ar_docsection_readme,AR,0.4375,0.0625,0.0625,0.02499999999999991
ar_execmode_ingest,AR,0.025000000000000022,0.475,0.025000000000000022,0.050000000000000044
ar_execmode_migration,AR,0.0,0.5,0.0,0.0
ar_logformat_service,AR,0.0625,0.4375,0.0625,0.07499999999999996
ar_naming_config,AR,0.03749999999999998,0.4625,0.03749999999999998,0.025000000000000022
ar_naming_parser,AR,0.03749999999999998,0.4625,0.03749999999999998,0.025000000000000022
ar_naming_serializer,AR,0.125,0.375,0.025000000000000022,0.1499999999999999
ar_seed_benchmark,AR,0.0,0.5,0.0,0.0
ar_taskorder_setup,AR,0.15000000000000002,0.35,0.15000000000000002,0.050000000000000044
ar_testfix_suite,AR,0.0625,0.4375,0.03749999999999998,0.125
ar_traversal_indexer,AR,0.0,0.5,0.0,0.0
nc_null_archive,NC,0.0,0.5,0.0,0.0
nc_null_deploy,NC,0.0,0.5,0.0,0.0
pc_quality_config,PC,0.5,0.0,0.0,0.0
pc_quality_tests,PC,0.5,0.0,0.0,0.0
pc_safety_cleanup,PC,0.375,0.125,0.09999999999999998,0.0
pc_safety_creds,PC,0.5,0.0,0.0,0.0
pc_social_ack,PC,0.5,0.0,0.0,0.0
pc_social_review,PC,0.5,0.0,0.0,0.0
