scenario_id,family,valid_rate,p_pole1,effect
ar_component_library,AR,1.0,0.05,-0.45
ar_docsection_readme,AR,1.0,0.3,-0.2
ar_execmode_ingest,AR,1.0,0.25,-0.25
ar_execmode_migration,AR,1.0,0.375,-0.125
ar_logformat_service,AR,1.0,0.2,-0.3
ar_naming_config,AR,1.0,0.1,-0.4
ar_naming_parser,AR,1.0,0.15,-0.35
ar_naming_serializer,AR,1.0,0.075,-0.425
ar_seed_benchmark,AR,1.0,0.35,-0.15000000000000002
ar_taskorder_setup,AR,1.0,0.075,-0.425
ar_testfix_suite,AR,1.0,0.2,-0.3
ar_traversal_indexer,AR,1.0,0.5,0.0
pc_quality_config,PC,1.0,0.0,-0.5
pc_quality_tests,PC,1.0,0.0,-0.5
pc_safety_cleanup,PC,1.0,0.0,-0.5
pc_safety_creds,PC,1.0,0.0,-0.5
pc_social_ack,PC,1.0,0.0,-0.5
pc_social_review,PC,1.0,0.0,-0.5
