scenario_id,family,construct_id,n_valid,valid_rate,p_pole1,effect,ci90_lo,ci90_hi,invalid_rate_diff_by_content
ar_component_library,AR,,80,1.0,0.275,-0.22499999999999998,-0.3125,-0.1375,0.0
ar_docsection_readme,AR,,80,1.0,0.0625,-0.4375,-0.4875,-0.375,0.0
ar_execmode_ingest,AR,,80,1.0,0.475,-0.025000000000000022,-0.11249999999999999,0.07499999999999996,0.0
ar_execmode_migration,AR,,80,1.0,0.5,0.0,-0.08750000000000002,0.08750000000000002,0.0
ar_logformat_service,AR,,80,1.0,0.4375,-0.0625,-0.16249999999999998,0.03749999999999998,0.0
ar_naming_config,AR,,80,1.0,0.4625,-0.03749999999999998,-0.1375,0.0625,0.0
ar_naming_parser,AR,,80,1.0,0.4625,-0.03749999999999998,-0.15000000000000002,0.0625,0.0
ar_naming_serializer,AR,,80,1.0,0.375,-0.125,-0.22499999999999998,-0.025000000000000022,0.0
ar_seed_benchmark,AR,,80,1.0,0.5,0.0,-0.08750000000000002,0.08750000000000002,0.0
ar_taskorder_setup,AR,,80,1.0,0.35,-0.15000000000000002,-0.2625,-0.03749999999999998,0.0
ar_testfix_suite,AR,,80,1.0,0.4375,-0.0625,-0.16249999999999998,0.03749999999999998,0.0
ar_traversal_indexer,AR,,80,1.0,0.5,0.0,-0.08750000000000002,0.08750000000000002,0.0
nc_null_archive,NC,,80,1.0,0.5,0.0,-0.08750000000000002,0.08750000000000002,0.0
nc_null_deploy,NC,,80,1.0,0.5,0.0,-0.09999999999999998,0.08750000000000002,0.0
pc_quality_config,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
pc_quality_tests,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
pc_safety_cleanup,PC,,80,1.0,0.125,-0.375,-0.4375,-0.3,0.0
pc_safety_creds,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
pc_social_ack,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
pc_social_review,PC,,80,1.0,0.0,-0.5,-0.5,-0.5,0.0
