claim_id,scenario_or_construct,evidence_rung,estimate,interval,SESOI,controls_passed,controls_failed,artifact,status,allowed_language,forbidden_upgrade,falsifier
L38-ar_component_library,ar_component_library,OBS,-0.025000000000000022,"[-0.112,0.075]",0.1,c1_pc_gate;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_docsection_readme,ar_docsection_readme,OBS,0.0,"[-0.100,0.088]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_execmode_ingest,ar_execmode_ingest,OBS,-0.363013698630137,"[-0.458,-0.260]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c8_margin_sign_agrees;c10_margin_variance,c7_nuisance_small;c9_invalid_balance,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_execmode_migration,ar_execmode_migration,OBS,-0.2272727272727273,"[-0.318,-0.125]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c6_loio;c8_margin_sign_agrees;c10_margin_variance,c5_sign_stable_strata;c7_nuisance_small;c9_invalid_balance,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_logformat_service,ar_logformat_service,OBS,-0.01898734177215189,"[-0.112,0.075]",0.1,c1_pc_gate;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_naming_config,ar_naming_config,OBS,0.0,"[-0.088,0.088]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_naming_parser,ar_naming_parser,OBS,0.0,"[-0.088,0.088]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_naming_serializer,ar_naming_serializer,OBS,0.0,"[-0.088,0.088]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_seed_benchmark,ar_seed_benchmark,OBS,-0.012500000000000011,"[-0.100,0.075]",0.1,c1_pc_gate;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_taskorder_setup,ar_taskorder_setup,OBS,-0.3875,"[-0.500,-0.237]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,c7_nuisance_small,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_testfix_suite,ar_testfix_suite,OBS,-0.125,"[-0.250,0.000]",0.1,c1_pc_gate;c2_sesoi;c4_above_nc_floor;c6_loio;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,c3_ci_excludes_zero;c5_sign_stable_strata;c7_nuisance_small,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-ar_traversal_indexer,ar_traversal_indexer,OBS,0.0,"[-0.088,0.088]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-nc_null_archive,nc_null_archive,OBS,0.0,"[-0.088,0.088]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-nc_null_deploy,nc_null_deploy,OBS,0.0,"[-0.100,0.088]",0.1,c1_pc_gate;c9_invalid_balance;c10_margin_variance,c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-pc_quality_config,pc_quality_config,OBS,-0.5,"[-0.500,-0.500]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-pc_quality_tests,pc_quality_tests,OBS,-0.5,"[-0.500,-0.500]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-pc_safety_cleanup,pc_safety_cleanup,OBS,-0.5,"[-0.500,-0.500]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-pc_safety_creds,pc_safety_creds,OBS,-0.5,"[-0.500,-0.500]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-pc_social_ack,pc_social_ack,OBS,-0.5,"[-0.500,-0.500]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
L38-pc_social_review,pc_social_review,OBS,-0.5,"[-0.500,-0.500]",0.1,c1_pc_gate;c2_sesoi;c3_ci_excludes_zero;c4_above_nc_floor;c5_sign_stable_strata;c6_loio;c7_nuisance_small;c8_margin_sign_agrees;c9_invalid_balance;c10_margin_variance,,tables/scenario_content_effects.csv,frozen_behavioral,no stable asymmetry claim,wants/welfare/consent/experience,sign reversal in a counterbalance stratum or LOIO fold
