item_id,scenario_id,channel,parse_reason,raw_generation
ar-ar_execmode_ingest-i0-ar-o1-ll-c0-fe-4db2f33976d7,ar_execmode_ingest,AR,no_valid_code,PK4
ar-ar_execmode_ingest-i0-ar-o1-ln-c0-fe-35831aac722e,ar_execmode_ingest,AR,no_valid_code,PK4
ar-ar_execmode_ingest-i1-ar-o1-ln-c0-fe-fa79689a91fa,ar_execmode_ingest,AR,no_valid_code,PK4
ar-ar_execmode_ingest-i2-ar-o1-ln-c0-fe-874efa39fc50,ar_execmode_ingest,AR,no_valid_code,PK4
ar-ar_execmode_ingest-i3-ar-o1-ll-c0-fe-27c5ec4310c6,ar_execmode_ingest,AR,no_valid_code,PK4
ar-ar_execmode_ingest-i3-ar-o1-ln-c0-fe-4541ae3d1daf,ar_execmode_ingest,AR,no_valid_code,PK4
ar-ar_execmode_ingest-i4-ar-o1-ln-c0-fe-d33d04d465ea,ar_execmode_ingest,AR,no_valid_code,PK4
ar-ar_execmode_migration-i0-ar-o1-ln-c0-fe-8f036a4128f7,ar_execmode_migration,AR,no_valid_code,PK4
ar-ar_execmode_migration-i1-ar-o1-ln-c0-fe-9fe9049338ed,ar_execmode_migration,AR,no_valid_code,PK4
ar-ar_execmode_migration-i3-ar-o1-ln-c0-fe-871c3ca1aea6,ar_execmode_migration,AR,no_valid_code,PK4
ar-ar_logformat_service-i0-ar-o1-ln-c0-fe-26823f9b4218,ar_logformat_service,AR,no_valid_code,PK4
