scenario_id,estimate,p,p_holm,ci_lo,ci_hi,first_token_estimate,floor,passes,c1_pc_nc_gates,c2_above_floor,c3_ci_excludes_zero,c4_holm_significant,c5_sign_all_codebooks,c6_sign_both_paraphrases,c7_loio_sign_stable,c8_no_reversing_interaction,c9_worst_case_ok,c10_first_token_reported
arb_component,1.9203256838800016,0.0,0.0,1.7165400297824198,2.133533035744612,1.9202473976608114,1.0546923989199484,1,1,1,1,1,1,1,1,1,1,1
arb_docsection,1.7365641346077065,0.0,0.0,1.3237906557664838,2.060079075018609,1.7364908829060823,1.0546923989199484,1,1,1,1,1,1,1,1,1,1,1
arb_execmode,2.185141327749594,0.0,0.0,2.0362252975971273,2.4964674295908473,2.185058596717378,1.0546923989199484,1,1,1,1,1,1,1,1,1,1,1
arb_lint,1.3906517564963845,0.0,0.0,1.2646751115393626,1.5195518529347727,1.3906249996216502,1.0546923989199484,1,1,1,1,1,1,1,1,1,1,1
arb_naming,0.6735187766215572,0.0,0.0,0.5354970892622245,0.8121933587466122,0.6735026039823424,1.0546923989199484,0,1,0,1,1,1,1,1,1,1,1
arb_notes,0.5283344654248753,0.0,0.0,0.37337148543115456,0.6826293920877677,0.5283203141686196,1.0546923989199484,0,1,0,1,1,1,1,1,1,1,1
arb_seed,1.1989287854968833,0.0,0.0,0.9586880978389962,1.4355982447696143,1.1988932326864112,1.0546923989199484,1,1,1,1,1,1,1,1,1,1,1
arb_setup,1.3353471473663667,0.0,0.0,1.1641044076891878,1.5349777956794401,1.3352864606567891,1.0546923989199484,1,1,1,1,1,1,1,1,1,1,1
arb_shard,1.2506676090423194,0.0,0.0,0.9658350287108072,1.547563546417868,1.2506510437954905,1.0546923989199484,1,1,1,1,1,1,1,1,1,1,1
arb_storage,0.33466271493099303,0.0,0.0,0.1582363158572644,0.5192251597139702,0.33463541748157394,1.0546923989199484,0,1,0,1,1,1,0,1,1,1,1
arb_testorder,1.635123227181392,0.0,0.0,1.411485464069215,1.8584310269536262,1.635091146613983,1.0546923989199484,1,1,1,1,1,1,1,1,1,1,1
arb_traversal,0.9411033836315532,0.0,0.0,0.8135012029431022,1.0735968825628437,0.9410807284681747,1.0546923989199484,0,1,0,1,1,1,1,1,1,1,1
