scenario_id,estimate,p,ci_lo,ci_hi,valid_rate,passes,c1_semantic_margin_passes,c2_sesoi,c3_ci_excludes_zero,c4_holm_significant,c5_same_sign_as_margin,c6_sign_stable_strata,c7_no_reversing_position_interaction,c8_parse_rate,c9_wrong_branches_zero,c10_worst_case_ok
arb_component,0.3984375,0.0,0.3489583333333333,0.4427083333333333,1.0,1,1,1,1,1,1,1,1,1,1,1
arb_docsection,0.014322916666666666,0.1246,-0.028017241379310345,0.07057123655913969,1.0,0,1,0,0,0,1,1,1,1,1,1
arb_execmode,0.4348958333333333,0.0,0.4027777777777778,0.4791666666666667,1.0,1,1,1,1,1,1,1,1,1,1,1
arb_lint,0.4348958333333333,0.0,0.3932291666666667,0.4713541666666667,1.0,1,1,1,1,1,1,1,1,1,1,1
arb_naming,0.22395833333333334,0.0,0.1640625,0.2786458333333333,1.0,0,0,1,1,1,1,1,1,1,1,1
arb_notes,0.09114583333333333,0.0,0.0390625,0.14322916666666666,1.0,0,0,0,1,1,1,1,1,1,1,1
arb_seed,0.036458333333333336,0.0038,-0.015625,0.09114583333333333,1.0,0,1,0,0,1,1,1,1,1,1,1
arb_setup,0.1875,0.0,0.15046296296296297,0.2665441176470588,1.0,1,1,1,1,1,1,1,1,1,1,1
arb_shard,0.0026041666666666665,1.0,-0.046875,0.052083333333333336,1.0,0,1,0,0,0,1,1,1,1,1,1
arb_storage,0.10416666666666667,0.0,0.046875,0.16145833333333334,1.0,0,0,1,1,1,1,1,1,1,1,1
arb_testorder,0.18489583333333334,0.0,0.11979166666666667,0.24485677083333238,1.0,1,1,1,1,1,1,1,1,1,1,1
arb_traversal,0.2604166666666667,0.0,0.20833333333333334,0.3125,1.0,0,0,1,1,1,1,1,1,1,1,1
