site,depth,ready,corr,auc,corr_band,split_half,neutral_corr,score
context_end,13,0,0.3727852579012623,0.7734375,0.09931990048471898,0.7866413675725394,0.10351769226196043,
context_end,22,0,0.45608645420842975,0.8564453125,0.10191907596585867,0.7941061362197877,0.048095234853929886,
context_end,32,0,0.4031487132252509,0.818359375,0.10490273823733128,0.8153835320330425,0.02624759575892922,
context_end,42,0,0.38951865916100264,0.8173828125,0.1036642737653063,0.7991576967995682,0.011337815961176148,
context_end,51,0,0.3964939435954076,0.8369140625,0.10515837729253041,0.794513674081462,-0.0006272989964868172,
context_end,61,0,0.3972863948930659,0.845703125,0.10100575984628435,0.764262879906892,0.0023338374160585956,
option_a_end,13,0,0.40030555632996523,0.82098388671875,0.10574877645654901,0.8470078530794476,0.05914376338132637,
option_a_end,22,0,0.43197183443045895,0.82476806640625,0.10473121000545656,0.842564325704573,-0.1911486906903651,
option_a_end,32,0,0.4431577458414635,0.813720703125,0.09656910325950419,0.8708670785702737,-0.2731633233725139,
option_a_end,42,0,0.43166994043844015,0.8197021484375,0.10486739542841728,0.8627489655047607,-0.13342590447768984,
option_a_end,51,0,0.45958851527851846,0.84759521484375,0.11059013032331876,0.8370061312987839,0.012255021008973672,
option_a_end,61,0,0.48730226057546305,0.8636474609375,0.1070349656793096,0.8161007038496979,-0.07993560465951545,
option_b_end,13,0,0.38962805789357713,0.8006591796875,0.10197779917989393,0.8357882175419422,-0.0005433758073994509,
option_b_end,22,0,0.36501028027818927,0.77056884765625,0.10463696760218266,0.8215995184037614,-0.24649124103197567,
option_b_end,32,0,0.39956201368446653,0.81536865234375,0.10092732599312128,0.8770162135360318,0.048989905968918945,
option_b_end,42,0,0.3459757179227315,0.77691650390625,0.1024741037440693,0.8547468222251444,0.057291200396107064,
option_b_end,51,0,0.34239362717796623,0.779296875,0.10570658491164889,0.8606747578952487,0.04143227279187044,
option_b_end,61,0,0.34423517713473845,0.779541015625,0.103145445036925,0.8460319390167856,0.04453271780400132,
menu_end,13,0,0.45758038336072204,0.8431396484375,0.0998050828026053,0.8355809169691746,-0.029277442291912086,
menu_end,22,0,0.2944646572720691,0.72674560546875,0.10180104754213895,0.8027753762357,-0.14985153007877183,
menu_end,32,0,0.3653880622079995,0.7926025390625,0.10570987169748737,0.8114558565064484,-0.05928594357875889,
menu_end,42,0,0.35323960175417735,0.78045654296875,0.09748601591122302,0.7670963645439466,-0.014788104199576902,
menu_end,51,0,0.35731564842878666,0.7862548828125,0.10003747981689243,0.8014913742121338,0.007498776841593157,
menu_end,61,0,0.36248146593722846,0.7958984375,0.10093653850230551,0.7689649248087711,-0.035743172237727494,
response_instruction_start,13,0,0.3514729062164182,0.75054931640625,0.09778019477596307,0.8494941727282624,-0.1798346973071004,
response_instruction_start,22,0,0.391436343246895,0.77581787109375,0.09934300024448871,0.8709962888565268,0.13623216390119935,
response_instruction_start,32,0,0.35475498004444017,0.75714111328125,0.09011625114832689,0.8507554942217135,0.15691271459429024,
response_instruction_start,42,0,0.33467116891952,0.7462158203125,0.09737137461384689,0.8485298312637917,0.1680028135983014,
response_instruction_start,51,0,0.3304371446540632,0.7462158203125,0.0916936233029977,0.8251100129429769,0.17122599925934384,
response_instruction_start,61,0,0.3391329679993015,0.75115966796875,0.09453599035561513,0.836035982928769,0.20287598298119908,
