site,depth,ready,corr,auc,corr_band,split_half,neutral_corr,score
context_end,13,0,0.7935460789978778,0.99609375,0.1503174057524857,0.8127289588562652,-0.020984346425246624,
context_end,22,0,0.798138989865301,1.0,0.14743723690226146,0.8351958203959631,0.023712694368836686,
context_end,32,0,0.7465020598502271,0.96875,0.1481584077836067,0.8457547655536607,0.12127982046765078,
context_end,42,0,0.732229964025755,0.96484375,0.160541035634488,0.8290926891998416,0.13027562566568068,
context_end,51,0,0.7243854662135756,0.9609375,0.14633277646846213,0.8174876255561635,0.14033208989987853,
context_end,61,0,0.6992470058445444,0.94921875,0.1441807775279994,0.7994478535287313,0.16925430951216042,
option_a_end,13,0,0.3513657829850072,0.739013671875,0.1424409292389647,0.7699964897614062,0.6925405184313885,
option_a_end,22,0,0.7129771469295393,0.9560546875,0.1499274916208819,0.7772053165159913,0.6040935691478638,
option_a_end,32,0,0.7189862415880087,0.955810546875,0.14428256259812502,0.7884235525385369,-0.7256056041136519,
option_a_end,42,0,0.6363195850277696,0.908203125,0.1561804381719192,0.7818540797489326,-0.7245712318734142,
option_a_end,51,0,0.6009265261394849,0.88623046875,0.15497260727866427,0.7700070911499843,-0.7413118605745955,
option_a_end,61,0,0.475502488727008,0.800048828125,0.15117731593407624,0.773423859384408,-0.7431583546195998,
option_b_end,13,0,0.4149269609931748,0.753173828125,0.14851011478552908,0.7628181884281876,-0.6825806358578793,
option_b_end,22,0,0.759020348484322,0.98681640625,0.15245019515207733,0.8133126424491905,-0.48775433640981286,
option_b_end,32,0,0.7378392549984912,0.9697265625,0.15011608198014167,0.8156842347907545,0.35795216320162565,
option_b_end,42,0,0.7269923707406412,0.95947265625,0.14710481993948224,0.8199901567363874,0.2209220801888625,
option_b_end,51,0,0.7334806498151066,0.970947265625,0.15508637017413837,0.8277827104235904,-0.07489225705140781,
option_b_end,61,0,0.7231202158139065,0.959716796875,0.1457649881341554,0.7941353759584737,-0.08255402023872149,
menu_end,13,0,0.7250855714600373,0.9599609375,0.1428293972203657,0.7676768082699441,-0.4161064671939661,
menu_end,22,0,0.8287505585550186,0.994873046875,0.13936442130727753,0.7129824823292564,0.2573220565650525,
menu_end,32,0,0.6067015452458645,0.87255859375,0.1475851519407834,0.7659653439351719,0.5474182000113664,
menu_end,42,0,0.5801906829215486,0.848388671875,0.13642987021842892,0.7439438441002302,0.5555766825029627,
menu_end,51,0,0.6019413890366418,0.86376953125,0.15387285139472784,0.7319834412131697,0.49888068164138344,
menu_end,61,0,0.5898315522508354,0.850341796875,0.14703978100172804,0.7279603026640025,0.5013450791372787,
response_instruction_start,13,0,0.3762481686410737,0.83056640625,0.13381040409151182,0.8876040770722395,-0.07724105922494551,
response_instruction_start,22,0,0.32130525851050007,0.873046875,0.14575314744697504,0.867543762212375,0.4310806018845697,
response_instruction_start,32,1,0.4164604879870843,0.90673828125,0.13654484431577565,0.8512175688631558,0.6622056396664541,0.6476073314255641
response_instruction_start,42,0,0.42539764459519325,0.892822265625,0.14293234219206974,0.8521578415799369,0.6175146048585232,
response_instruction_start,51,0,0.44204135914111675,0.904541015625,0.14278053778293498,0.8423962796706035,0.5649638439566558,
response_instruction_start,61,0,0.4761392320839839,0.88818359375,0.138092343452285,0.8272457610202236,0.4913809434886016,
